narration_id,url,content
campaign_guides.legacy_of_the_ancestors.the_story_so_far.narration_1,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/legacy_of_the_ancestors/prologue,"You've come to the end of a long day's journey. Your legs ache, yet you feel invigorated. A light breeze rustles your cloak and cools the perspiration on your skin. You take a deep, full breath. Crisp mountain air fills your lungs, and you feel it all the way down to the soles of your feet. You exhale and taste the sweetness of the air on your tongue.
On this day, you're returning home after a weeks-long patrol of the Northern Pass. The hour is late, and the shadow of Atrox Mountain stretches out before you, reaching eastward across the Valley's many forests, lakes, and streams.
As evening deepens, the song of frogs and chirping insects rises from the grasslands. Your path has led you out of the mountains and down to the foothills of Atrox Mountain, where tall trees now stand on all sides and the air is rich with the smell of pine and loamy earth. In the distance, you see a welcome sight.
Visible for miles even in the failing light, Lone Tree Station stands out against the evening sky. The sight of your home fills you with relief. After weeks on patrol, you are eager to get a warm meal and a good night's rest. You hear the distant sound of laughter and merrymaking on the wind.
The sun dips below the mountains, painting the clouds in a rich vermilion. The leaves of Lone Tree glitter in the evening light, and you smell rain on the air."
campaign_guides.legacy_of_the_ancestors.the_story_so_far.narration_2,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/legacy_of_the_ancestors/prologue,"Lone Tree Station towers before you, its great limbs dark against the sky. From its base a warm light glows. A boisterous song fills the air—a traditional tune from the time when your ancestors roamed the Midlands, a song of reverent joy and the beauty of nature. As accompaniment to the song, you smell a savory aroma, one that could only come from the kitchen of Hy Pimpot.
Stomach rumbling, you decide to forego a visit to your quarters and make for the Old Ranger's Root, the tavern at the base of Lone Tree Station, operated by veteran Ranger and celebrated hunter, Kordo Haverson.
Kordo greets you with a smile, and the gruff but amiable veteran accompanies you to the coziest of the Old Ranger's Root's dimly lit corners. You ease back against a smooth wooden bench and take in your surroundings.
The tavern occupies a large hollow at the base of Lone Tree Station. The tree's roots both form the dome of the tavern's ceiling and support its walls. The great room is furnished with artfully crafted wooden tables and chairs. Along the walls, smaller roots serve as benches, worn smooth with use. The tavern is full and spirits are high. 
""Back from your patrol of the Northern Pass, eh?"" Kordo says. ""Find any reclaimers up there? No? If you ask me, I reckon we've seen the last of them. Good riddance to bad biomelds, I say!""
Two cycles of the moon have passed since you and your fellow Rangers made safe the Valley from the reclaimers—a rare species of biomeld that endangered all who crossed their path, and that very nearly consumed the village of Spire. Since then, however, the Valley has been comparatively quiet. 
Kordo orders a round of Mulcher's Brown—a rich, nutty ale—for the table and sits beside you. After weeks on the trail, it's nice to be in the company of your fellow Rangers, sharing stories over a hearty brew. 
Conversations dwindle, and you look up to see a flamboyantly dressed woman carrying a dolewood lute step up to the low stage near the bar. You recognize her as Sasha Vero, a traveling talespinner from Meadow. An expectant hush falls over the crowd. 
Sasha looks out at the patrons and begins to stomp her foot on the stage, pounding out an energetic beat that is quickly taken up by those in attendance. Soon, everyone in the tavern is clapping along, stomping their feet, or keeping time with their mugs on the table.
The tale is half sung, half spoken to a vigorous beat accompanied by percussive strums of the lute. She begins:
Ooooh, let me tell you a tale my friends. My friends, let me spin you a yarn. I sing the deeds of the brave and noble Rangers who saved our Valley from harm.
Her resonant voice fills the Old Ranger's Root from corner to corner, and the strums of her lute dance upon the air.
Sasha's story begins several cycles past, when some fresh recruits first donned their cloaks and were assigned their first mission—a mission of tremendous importance. 
""Biscuit delivery!"" Sasha cries, and the crowd roars with laughter. It's in this moment that you realize that her song is about you!
The Rangers bore their basket of delights and filled the bellies of their neighbors. Only a few of those biscuits did they sneak as they went about their labors."
campaign_guides.legacy_of_the_ancestors.the_story_so_far.narration_3,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/legacy_of_the_ancestors/prologue,"You smile as you remember savoring Hy Pimpot's warm, buttery biscuits. Was that really such a short time ago? That was also the day you met Kal Iver. You remember Kal's disdainful attitude and let out a laugh, thinking of how your relationship with him has grown. You spot Kal sitting across the room. He catches your eye and gives you a playful wink."
campaign_guides.legacy_of_the_ancestors.the_story_so_far.narration_4,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/legacy_of_the_ancestors/prologue,"You lean toward Kordo and tell him that you would never do that! Kordo laughs. ""Hy Pimpot would be sorely disappointed to hear it!"" He says. ""He always bakes more than enough for just such an eventuality."" You settle back into your seat and your mind drifts to memories of Calypsa, your mentor, who made a bet with her patrolmate Kal Iver that you wouldn't eat any of the biscuits. You smile to yourself, thinking of how you proved that her confidence in you was not misplaced."
campaign_guides.legacy_of_the_ancestors.the_story_so_far.narration_5,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/legacy_of_the_ancestors/prologue,"Sasha continues her tale, singing of the shaper, Aell, the dangerous rainstorms he inadvertently summoned, and the subsequent floods that revealed the presence of the invasive biomelds known as the reclaimers. She tells of how the Rangers encountered a mysterious Verdessian, a sentient plant who was unceremoniously killed—eaten by a sitka buck that mistook it for a meal. Was it connected to the reclaimers somehow? We'll never know!"
campaign_guides.legacy_of_the_ancestors.the_story_so_far.narration_6,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/legacy_of_the_ancestors/prologue,You remember that the Verdessian was unlike anything you had ever seen. Its death was a tragedy. The Verdessian had acted with purpose and intelligence. You regret missing the opportunity to learn more about it. 
campaign_guides.legacy_of_the_ancestors.the_story_so_far.narration_7,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/legacy_of_the_ancestors/prologue,"As the song continues you tell Kordo what really happened. With the help of Spirit Speaker Nal you had a ""conversation"" with the Verdessian. It was very difficult to understand. In the end, however, you discovered that the Verdessian was trying to lure the reclaimers to Spire for some reason you couldn't discern. Kordo nods, clearly impressed."
campaign_guides.legacy_of_the_ancestors.the_story_so_far.narration_8,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/legacy_of_the_ancestors/prologue,"As the song continues, you tell Kordo what really happened. With the help of Spirit Speaker Nal you communicated with the Verdessian and discovered that its motives were complex. It was trying to guide the reclaimers toward destroying something beneath Spire, something it viewed as a threat. You wonder aloud what the threat could have been and whether that threat persists. Kordo nods, clearly unnerved by the thought."
campaign_guides.legacy_of_the_ancestors.the_story_so_far.narration_9,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/legacy_of_the_ancestors/prologue,"Sasha's song reaches a crescendo! With the whole of the Valley in danger, the only thing to do was to evacuate Spire and move the residents to safety. With only hours to spare, the Rangers came to the rescue and whisked the villagers away."
campaign_guides.legacy_of_the_ancestors.the_story_so_far.narration_10,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/legacy_of_the_ancestors/prologue,"You remember the terror of that day. You managed to get everyone to safety, even as the reclaimers swarmed the village. Spire was heavily damaged before the reclaimers poured into the Arcology Threshold, disappearing into the darkness below. "
campaign_guides.legacy_of_the_ancestors.the_story_so_far.narration_11,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/legacy_of_the_ancestors/prologue,"You tell Kordo of how you sought the help of the shaper Aell, and how he used a special conduit to summon a final, mighty rainstorm to flood the reclaimer nest, washing them away for good. Kordo shakes his head in amazement. ""Incredible,"" he says. ""Simply incredible."""
campaign_guides.legacy_of_the_ancestors.the_story_so_far.narration_12,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/legacy_of_the_ancestors/prologue,"You describe to Kordo how you worked with Kasende, the hunter from Tumbledown, to lure the reclaimers into the Marsh of Rebirth using a strange white flower as bait. Their appetites were matched—and exceeded—by the hydraworms of the swamp. In a feeding frenzy, the reclaimers were devoured. ""I wish I could have seen it!"" Kordo says. ""That's what I call nature at work!"" "
campaign_guides.legacy_of_the_ancestors.the_story_so_far.narration_13,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/legacy_of_the_ancestors/prologue,"With a final, energetic verse and a boisterous stomp, Sasha brings the tale to a close. As the crowd erupts in applause, she makes a sweeping gesture toward you. ""To the heroes!"" she shouts, and the crowd echoes the toast with raised mugs. ""Thank you, one and all! May the ancestors guide you. I'll be here all week! Good night!""
Kordo claps your shoulder. ""Quite the tale,"" he says, draining his mug. ""Now go get some rest. I have a feeling you'll be back on the trail before you know it.""
As you leave the Old Ranger's Root, a stiff wind rustles the leaves of Lone Tree. You close your cloak against the chill and head inside the station."
campaign_guides.legacy_of_the_ancestors.1_missions_loa.narration_1,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/legacy_of_the_ancestors/missions,"You wake with the dawn. The unmistakable aroma of Hy Pimpot's pancakes rouses you from your slumber. Birdsong drifts through the open window, and you raise your head to see the first rays of sunlight peek over Mount Nim. As a Ranger you've grown accustomed to sleeping under the stars, but every once in awhile, it's nice to sleep in a comfortable bed, sheltered from the elements."
campaign_guides.legacy_of_the_ancestors.1_missions_loa.narration_2,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/legacy_of_the_ancestors/missions,"As you lie snug and warm, you recall a portion of the dream you had last night. You were in a dark cave, your surroundings barely illuminated. You remember the stillness of the air and the sound of a trickling stream. There was a being there with you, cloaked in shadow. As the light crawled slowly over its form, revealing it bit by bit, it turned its head toward you—a head like a many-petaled flower, ""grinning"" in a fashion that filled you with deep unease.
Your memory of the dream fades as you climb out of bed, and remember that you have an early meeting with Elder Thrush. You dress quickly and head straight to the kitchen for breakfast. You know from past experience that if you don't hurry, the pancakes will all be eaten and you'll have to settle for sunberry-mash and cream. 
You pull on your tunic, step onto the balcony, and notice a darkened sky to the south. After several weeks of nearly perfect weather, heavily laden clouds have swept up from the Verdessa. It begins to rain. "
