narration_id,url,content
campaign_guides.lure_of_the_valley.prologue.narration_1,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/lure_of_the_valley/prologue,"Imagine a low fire burning in the pre-dawn light. Imagine you’re wrapped in a warm cloak, breathing cool mountain air. You smell the smoke from the fire and the rich scent of pine.   
Last night you swore your oaths to the ancestors, to the elders, and to the spirit of the Valley. The sun begins to rise on your first day as a Ranger, a caretaker of the land, and a friend to its people.   
You watch as Elder Thrush retrieves her condenser kettle from a low branch, checks the water level, then places it onto the fire. As the water rises to boil, Calypsa, the Ranger who has mentored you for the past nine months, sets about crushing dried marrowleaf for tea in plain carbon forged cups.   
Once it’s ready, she hands you a cup. Steam pours off of it. It smells of the forest.   
Calypsa raises her cup. “To your true self.” She drinks, and you follow suit. The tea invigorates you, warmth spreading throughout your body. It feels amazing.   
Your eyes are drawn to the flame. As you watch, your eyes unfocus. You hear the voices of your ancestors. You can feel them with you. You can feel their support and their love. You hear them speak, and they remind you of your best qualities, the person you truly are.  
Who are you?"
campaign_guides.lure_of_the_valley.prologue.narration_2,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/lure_of_the_valley/prologue#13,"Your eyes refocus, and Calypsa smiles warmly. “It is time,” she says. “As of this morning, I am no longer your mentor. Like you, I am a Ranger.” She speaks briefly with Elder Thrush, douses the fire, then turns to you. “We will travel from here to the Boulder Field. I’ll stay back and follow your lead.”"
campaign_guides.lure_of_the_valley.prologue.narration_3,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/lure_of_the_valley/prologue#read-the-entry-corresponding-to-which-condition-was-met,"As you walk beneath the shade of a long-limbed oak, you think back to your youth, living and playing in the villages and wild spaces of the Valley. A light breeze cools your skin, and it conjures a memory of your apprenticeship. You had finished your first day’s work, sweat cooling on your skin, overlooking the Silverfin—its water sparkling with the colors of sunset. You stood at a moment of promise. Now, as a newly sworn Ranger, you stand at another, buoyed by the lessons learned in your youth."
campaign_guides.lure_of_the_valley.prologue.narration_4,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/lure_of_the_valley/prologue#17,"You pause to drink some water from your canteen. Voluminous clouds drift lazily overhead. You see Calypsa emerge from the trees and walk down the trail toward you. “Let’s walk together for awhile,” she says. “I need to share some last bits of wisdom with you. It may be some time until our paths cross again out here in the wild.”"
campaign_guides.lure_of_the_valley.prologue.narration_5,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/lure_of_the_valley/prologue#18,"“ ... and that was the last time I went swimming near a lutrinal holt.” You and Calypsa share a laugh. She takes the hem of your cloak between her thumb and forefinger and nods solemnly. “You are now a Ranger of the Valley,” she says. “You are charged with protecting its people and lending aid to any in need, but while you do, take care to look out for each other. Your fellow Rangers will need you, and you will need them.”
She steps back and smiles. “It’s time to return to Lone Tree Station. I must go by a different route, but I will see you there.”"
campaign_guides.lure_of_the_valley.prologue.narration_6,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/lure_of_the_valley/prologue#23,"You emerge from a line of trees and find yourself walking through a vast, rolling field. In the distance, you see the towering form of Lone Tree Station rising against the clear blue sky, and on the breeze you smell the hint of something sweet. Is someone baking?"
campaign_guides.lure_of_the_valley.1_missions.narration_1,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/lure_of_the_valley/missions,"Cresting the gentle, grassy hill, you see the unmistakable silhouette of Lone Tree Station rise out of the highland plains before you. Lone Tree Station is aptly named. The single massive giga-redwood towers above the hills and swaying grass that surround it. You can just make out eaves and balconies among the gnarled bark, doors tucked into the winding roots, and hanging gardens suspended from branches.
As you draw closer, a woman in a freshly pressed cloak steps out from the main entrance and waves. Calypsa, your mentor for the past nine months, strides toward you with a man who looks just about your age at her heels.
“Hallo!” she calls out. “You made it. Just look at you!” She clasps your hands, her smile warm and her grip firm. “I’m glad to finally have you here,” she says. Then she turns. “This is Kal Iver. I trained Kal last year—right before I started training you.” Kal Iver gives you a nod in greeting. “A pleasure,” he says."
campaign_guides.lure_of_the_valley.1_missions.narration_2,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/lure_of_the_valley/missions,"Calypsa heads back to the station with you and Kal in tow. She speaks back over her shoulder. “Please, make yourselves at home. Explore the hanging gardens. Find Spirit Speaker Nal and Kordo, and strike up a conversation. Get to know the place.”
“After you’ve spent some time here at the Station, you should head over to White Sky,” she says. “In fact, Hy Pimpot has some juniper biscuits baking right now. His food is legendary around these parts. Once those biscuits are ready and you’ve had a chance to poke around, take a parcel over to White Sky, and offer them to the people you meet. It’s been at least a year since our neighbors have enjoyed the company of Rangers bearing treats.” She turns to look at Kal. “What do you think, Kal? Good way to get started?”
Kal grins at you in a way that you can’t quite describe as a sneer. “Handing out baked goods? I think that’s perfectly suited to their abilities,” he says."
campaign_guides.lure_of_the_valley.1_missions.narration_3,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/lure_of_the_valley/missions#rangers-choose,"Calypsa glares. “Recall the wisdom of our ancestors,” she says. “Treat each other with kindness.” On “kind” she punches you on the shoulder. On “-ness,” she punches Kal’s."
campaign_guides.lure_of_the_valley.1_missions.narration_4,https://thelivingvalley.earthbornegames.com/docs/campaign_guides/lure_of_the_valley/missions#rangers-choose,"Calypsa shakes her head and laughs. “Oh, Kal. You’re not long past delivering biscuits yourself. It’s tradition, after all.”"
