narration_id,url,content
one_day_missions.missing_person.narration_1,https://thelivingvalley.earthbornegames.com/docs/one_day_missions/missing_person,"The choppy waters of the Silverfin rhythmically slap against your canoe's dolewood prow. You peer through the rain as you scan the banks of the river for any sign of Ren Kobo or his signature hoversled. It's been a week since the Messipian was supposed to make an appearance at his market west of Spire, and folks are starting to worry.
Yesterday, one of the fisherfolk found a small box washed up on the Silverfin's banks a bit south of White Sky and brought it to the Rangers. Ren Kobo isn't the only one to use boxes of that make, but it's the best sign you've had so far, so Lyn Mira lent one of her canoes to aid you in a fast search along the river."
one_day_missions.missing_person.narration_2,https://thelivingvalley.earthbornegames.com/docs/one_day_missions/missing_person,"The rain has been relentless, and the river has been swelling in recent days. You could stay here and search where the box was found, but assuming he was taken by the river, Ren Kobo could be anywhere along its length!
The river splits around the island that holds Spire. Given the number of the people in that area, surely someone there spotted something. Otherwise, if he made it past Spire, he's most likely washed up in the Alluvial Ruins with all the river's detritus. Either would be a good place to start, as would right here."
one_day_missions.missing_person.narration_3,https://thelivingvalley.earthbornegames.com/docs/one_day_missions/missing_person,"After pulling the canoe up to the riverbank in the area the fisherfolk mentioned, you begin picking through the brush. The rain has washed away any tracks on the riverbank, but you quickly identify some disturbed and broken branches that speak of something large blundering through the bushes. Something like Ren Kobo's hoversled. A good sign! You decide to continue down this trail."
one_day_missions.missing_person.narration_4,https://thelivingvalley.earthbornegames.com/docs/one_day_missions/missing_person,"You paddle downriver for a few hours, letting the current do most of the work as you steer to avoid the occasional toxin eater looming out of the mist.
You paddle around a bend to see Spire ahead of you, a dim silhouette through the downpour. As you draw closer, you spot several figures urgently waving and beckoning you towards the shore. A woman wrapped in a thick poncho greets you as she helps pull your canoe onto the shingle. ""Are we ever glad to see you! Are you the ones looking for ol' Ren Kobo? You're going to want to see this.""
She leads you to a pile of boxes stacked on the shore and points toward the woods. ""We found some footprints in a sheltered area up there, but we're no trackers. Think you can take it from here?"""
one_day_missions.missing_person.narration_5,https://thelivingvalley.earthbornegames.com/docs/one_day_missions/missing_person,"You paddle downriver for the better part of a day, letting the current do most of the work as you steer to avoid the occasional toxin eater looming out of the mist.
Finally, the current slows as the river widens into a massive alluvial fan. The trunks of dead trees and scattered ruins of ancient structures dot the field of detritus washed here by the Silverfin. It doesn't take you long to spot some signs of Ren Kobo. Not only do you find several boxes, but you also notice a torn piece of his poncho, tied hastily to a branch as a sign. Clearly he knew he was in trouble, and knew someone would come looking for him. Hopefully all the other signs will be this easy to find."
one_day_missions.missing_person.1_45_search.narration_1,https://thelivingvalley.earthbornegames.com/docs/one_day_missions/missing_person/1_45-search,"You push through some particularly dense brush to discover a clearing full of animals! They don't notice you as they graze on the contents of an overturned hoversled -- Ren Kobo's overturned hoversled! You quickly look around and spot the merchant hiding behind a boulder.
He locks eyes with you, and makes an emphatic ""no"" gesture. He appears to be frightened, but of what you're not sure. Certainly, he can't be afraid of a few herbivores."
one_day_missions.missing_person.1_45_search.narration_2,https://thelivingvalley.earthbornegames.com/docs/one_day_missions/missing_person/1_45-search,"Striding boldy into the clearing, you scare off the grazing herbivores. As you do, you hear an audible groan from the merchant. ""No, you fools!"" he says. ""She'll see you!""
Suddenly, a massive shadow moves across the sun, and your hair stands on end. You know of only one being in the Valley large enough to cast such a shadow. You're going to need to get Ren Kobo, and yourself, to the safety of a Ranger Station as quickly as possible."
one_day_missions.missing_person.1_45_search.narration_3,https://thelivingvalley.earthbornegames.com/docs/one_day_missions/missing_person/1_45-search,"You sneak carefully around the grazers, and reach Ren Kobo. You ask him why he's hiding, and he points calmly toward the sky.
""Umbra!"" he hisses. ""She swooped down and overturned my sled, and I've been hiding here ever since! I'd run, but a Messipian never abandons his merchandise!""
You tell him you can keep him safe, but he'll need to leave his sled behind for now. You need to reach a Ranger Station as quickly as possible."
one_day_missions.missing_person.1_46_rescue.narration_1,https://thelivingvalley.earthbornegames.com/docs/one_day_missions/missing_person/1_46-rescue,"0-1:
 You have been hiking abreast with Ren Kobo, though he's been less talkative than normal. Perhaps his run-in with Umbra has left him more shaken than he's let on.
At long last, you crest a hill to be greeted by the welcoming sight of the Ranger Station. A few minutes later, the old Messipian is sitting down with a cup of hot broth, drying off from the rain.
""Thank you,"" Ren Kobo says. ""This is why I love the Valley so much."" He clasps your hands. ""It's full of exceptional people that you can always rely upon in your hour of need.""
2-3:
 Ren Kobo's injuries have been wearing on him more and more as you travel, but at long last you see the Ranger Station in the distance. A few minutes later, you're inside, and the old Messipian is sitting down with a cup of hot broth, drying off from the rain as you tend to his bumps and bruises.
""Thank you,"" he says. ""People like you are why I love this Valley so much."" He clasps your hands. ""Once you're done patching me up, we should probably go back for my merchandise. What do you say?"""
one_day_missions.missing_person.1_48_rescue.narration_1,https://thelivingvalley.earthbornegames.com/docs/one_day_missions/missing_person/1_48-rescue_harm,"Ren Kobo, coughs, stumbles, and falls to his knees. Although he insists he's fine, you can tell the old Messipian is in trouble. You put his arm over his shoulder and heave his weight up. You can still get him to safety."
